Nome real da conta,Conta,Seguidores,Seguindo,Postagens
Ocupapolitica,https://www.instagram.com/ocupa_politica/,522,866,114
Movimento Agora!,https://www.instagram.com/agoramovimento/,7367,72,301
MUITAS,https://www.instagram.com/as_muitas/,1470,26,117
Bancada Ativista,https://www.instagram.com/bancadaativista/,3825,2701,136
RenovaBR,https://www.instagram.com/renovabr/,26359,4487,155
Mídia NINJA,https://www.instagram.com/midianinja/,270667,488,9757
342 Artes,https://www.instagram.com/342artes/,2677,3,107
MST Oficial,https://www.instagram.com/movimentosemterra/,30608,40,443
movimentolutanosbairros;/s;/s;/s;/s
União Nacional dos Estudantes,https://www.instagram.com/uneoficial/,36632,5638,1645
CUT Brasil,https://www.instagram.com/cutbrasil/,22519,428,884
Juntos!,https://www.instagram.com/coletivojuntos/,5496,2374,645
Movimento Correnteza,https://www.instagram.com/movimentocorrenteza/,887,540,73
União da Juventude Socialista,https://www.instagram.com/ujs_brasil/,10409,454,1020
União da Juventude Rebelião,https://www.instagram.com/ujr_brasil/,1007,4,92
Movimento Olga Benario Brasil,https://www.instagram.com/movimentoolga/,1123,381,422
UBES,https://www.instagram.com/ubesoficial/,11625,122,829
RUA Juventude Anticapitalista,https://www.instagram.com/rua_juventudeanticapitalista/,40196,686,327
Afronte! Juventude Sem Medo,https://www.instagram.com/afronte.nacional/,663,300,54
,https://www.instagram.com/contag/,45,0,15
Geledés,https://www.instagram.com/portalgeledes/,33567,211,314
Marcha Mundial das Mulheres,https://www.instagram.com/marchamulheres/,5308,297,395
Não Me Kahlo,https://www.instagram.com/naokahlo/,72118,97,487
Vem Pra Rua Brasil,https://www.instagram.com/vemprarua_br/,97170,591,4718
Revoltados On Line,https://www.instagram.com/revoltadoson/,23,1,0
Estudantes Pela Liberdade,https://www.instagram.com/estudantespelaliberdade/,2326,139,42
MBL - Movimento Brasil Livre,https://www.instagram.com/mblivre/,175092,1765,2016
Luta eterna pela corrupção,https://www.instagram.com/movimentocontraacorrupcao/,60,205,3
Luiz Inácio Lula da Silva,https://www.instagram.com/luizinacioluladasilvaoficial/,258071,1,260
Ciro Gomes,https://www.instagram.com/cirogomes/,120316,138,28
Geraldo Alckmin,https://www.instagram.com/geraldoalckmin_/,107503,34,3850
Jair Bolsonaro,https://www.instagram.com/jairmessiasbolsonaro/,1190509,350,1324
Michel Temer,https://www.instagram.com/micheltemer/,106280,104,624
Marina Silva,https://www.instagram.com/_marinasilva_/,94777,68,790
Levy Fidelix,https://www.instagram.com/levyfidelix28/,9607,70,169
Pastor Everaldo Pereira,https://www.instagram.com/pastoreveraldo/,15130,302,1737
robertoljustus,https://www.instagram.com/robertoljustus/,1103215,152,1060
Guilherme Boulos,https://www.instagram.com/guilhermeboulos.oficial/,84921,112,768
Jaques Wagner,https://www.instagram.com/jaqueswagner/,22309,162,601
Fernando Collor,https://www.instagram.com/fernando_collor/,13806,753,1421
Cristovam Buarque,https://www.instagram.com/buarquecristovam/,9848,724,88
