username;Data;stories
ocupa_politica;6/6/2018-23:34;0
agoramovimento;6/6/2018-23:34;9
as_muitas;6/6/2018-23:34;0
bancadaativista;6/6/2018-23:34;0
renovabr;6/6/2018-23:34;0
midianinja;6/6/2018-23:34;0
342artes;6/6/2018-23:34;0
movimentosemterra;6/6/2018-23:34;1
username;Data;stories
ocupa_politica;6/6/2018-23:34;0
agoramovimento;6/6/2018-23:34;9
as_muitas;6/6/2018-23:34;0
bancadaativista;6/6/2018-23:34;0
renovabr;6/6/2018-23:34;0
midianinja;6/6/2018-23:34;0
342artes;6/6/2018-23:34;0
movimentosemterra;6/6/2018-23:34;1
username;Data;stories
ocupa_politica;6/6/2018-23:36;0
agoramovimento;6/6/2018-23:36;9
as_muitas;6/6/2018-23:36;0
bancadaativista;6/6/2018-23:36;0
renovabr;6/6/2018-23:36;0
midianinja;6/6/2018-23:36;0
342artes;6/6/2018-23:36;0
movimentosemterra;6/6/2018-23:36;1
